personnelId,firstName,lastName,email,phoneNumber,startDate,endDate,login
20100418,Mike,Smith,mike.smith@example.com,403-518-3136,4/18/2010,,mike.smith
20100425,Danny,Wade,danny.wade@example.com,535-653-5132,4/25/2010,,danny.wade
20100505,Ed,Lee,ed.lee@example.com,577-329-4117,5/5/2010,,ed.lee
20100520,Jason,Martinez,jason.martinez@example.com,200-209-0121,5/20/2010,,jason.martinez
20100619,Jack,Martinez,jack.martinez@example.com,401-027-3355,6/19/2010,,jack.martinez
20100702,Jones,Kim,jones.kim@example.com,264-020-9481,7/2/2010,12/31/2010,jones.kim
20100914,Joyce,Martinez,joyce.martinez@example.com,446-589-3791,9/14/2010,,joyce.martinez
20101002,Adam,Lee,adam.lee@example.com,551-015-8315,10/2/2010,,adam.lee
20101202,Tommy,Lopez,tommy.lopez@example.com,732-507-3233,12/2/2010,,tommy.lopez
20101225,Lucy,Lee,lucy.lee@example.com,454-471-6288,12/25/2010,,lucy.lee
20110113,Jack,Lee,jack.lee@example.com,142-719-9348,1/13/2011,,jack.lee
20110116,Jones,Smith,jones.smith@example.com,431-406-4758,1/16/2011,,jones.smith
20110221,Lilian,Johnson,lilian.johnson@example.com,223-077-7183,2/21/2011,,lilian.johnson
20110324,Jones,Jefferson,jones.jefferson@example.com,501-059-7895,3/24/2011,,jones.jefferson
20110411,Jones,Martinez,jones.martinez@example.com,336-135-2489,4/11/2011,,jones.martinez
20110421,Danny,Gipson,danny.gipson@example.com,735-264-0858,4/21/2011,,danny.gipson
20110512,Simon,Kim,simon.kim@example.com,356-560-1091,5/12/2011,,simon.kim
20110526,Joyce,Kim,joyce.kim@example.com,220-741-2534,5/26/2011,,joyce.kim
20110527,Lucy,Yang,lucy.yang@example.com,761-317-5899,5/27/2011,12/31/2011,lucy.yang
20110604,Thomas,Wu,thomas.wu@example.com,145-495-1897,6/4/2011,,thomas.wu
20110609,Simon,Martinez,simon.martinez@example.com,431-624-5010,6/9/2011,,simon.martinez
20110904,Richard,Yang,richard.yang@example.com,350-515-2983,9/4/2011,,richard.yang
20110924,Ed,Lopez,ed.lopez@example.com,621-482-6643,9/24/2011,,ed.lopez
20110927,Thomas,Kim,thomas.kim@example.com,701-391-5320,9/27/2011,,thomas.kim
20110928,Richard,Wills,richard.wills@example.com,534-212-6604,9/28/2011,,richard.wills
